iter	Passed	Remaining
749	14070	8442
750	14089	8423
751	14109	8405
752	14128	8387
753	14148	8368
754	14166	8349
755	14187	8332
756	14208	8314
757	14229	8297
758	14248	8279
759	14270	8261
760	14297	8248
761	14322	8232
762	14349	8218
763	14380	8206
764	14406	8191
765	14440	8181
766	14478	8173
767	14516	8165
768	14552	8156
769	14593	8149
770	14632	8141
771	14672	8134
772	14710	8126
773	14744	8115
774	14778	8104
775	14808	8091
776	14835	8076
777	14863	8062
778	14897	8051
779	14930	8039
780	14965	8029
781	15004	8020
782	15039	8009
783	15077	8000
784	15113	7989
785	15152	7981
786	15176	7964
787	15198	7946
788	15218	7927
789	15239	7909
790	15260	7890
791	15279	7871
792	15298	7852
793	15320	7833
794	15340	7815
795	15360	7796
796	15379	7776
797	15400	7758
798	15420	7739
799	15440	7720
800	15460	7701
801	15480	7682
802	15499	7662
803	15520	7644
804	15540	7625
805	15561	7606
806	15583	7588
807	15601	7569
808	15622	7550
809	15641	7531
810	15661	7512
811	15681	7493
812	15700	7473
813	15722	7455
814	15743	7437
815	15762	7417
816	15783	7399
817	15804	7380
818	15825	7361
819	15982	7406
820	16010	7390
821	16039	7376
822	16068	7360
823	16094	7344
824	16120	7327
825	16143	7309
826	16168	7292
827	16192	7274
828	16216	7257
829	16236	7238
830	16257	7218
831	16277	7199
832	16296	7179
833	16316	7160
834	16339	7142
835	16361	7123
836	16381	7104
837	16401	7084
838	16420	7065
839	16441	7046
840	16462	7027
841	16485	7009
842	16508	6990
843	16530	6972
844	16551	6953
845	16571	6934
846	16592	6915
847	16613	6896
848	16635	6877
849	16655	6858
850	16676	6839
851	16695	6819
852	16715	6799
853	16735	6780
854	16756	6761
855	16776	6741
856	16794	6721
857	16813	6702
858	16833	6682
859	16854	6663
860	16873	6643
861	16892	6623
862	16912	6604
863	16932	6584
864	16951	6565
865	16970	6545
866	16990	6525
867	17009	6505
868	17027	6485
869	17046	6465
870	17067	6446
871	17086	6427
872	17105	6407
873	17126	6387
874	17146	6368
875	17166	6349
876	17188	6330
877	17209	6311
878	17232	6293
879	17257	6275
880	17279	6256
881	17302	6238
882	17326	6220
883	17351	6202
884	17375	6184
885	17398	6165
886	17419	6146
887	17441	6127
888	17461	6108
889	17482	6089
890	17502	6069
891	17521	6049
892	17541	6030
893	17561	6011
894	17582	5991
895	17600	5971
896	17621	5952
897	17642	5933
898	17661	5913
899	17683	5894
900	17701	5874
901	17723	5855
902	17743	5835
903	17763	5816
904	17782	5796
905	17801	5776
906	17820	5756
907	17839	5737
908	17859	5717
909	17879	5697
910	17899	5678
911	17919	5658
912	17940	5639
913	17960	5620
914	17980	5600
915	17999	5580
916	18020	5561
917	18039	5541
918	18059	5522
919	18078	5502
920	18098	5482
921	18118	5462
922	18138	5443
923	18159	5424
924	18179	5404
925	18198	5384
926	18216	5364
927	18235	5344
928	18256	5325
929	18276	5306
930	18296	5286
931	18315	5266
932	18335	5247
933	18354	5227
934	18373	5207
935	18393	5187
936	18413	5168
937	18432	5148
938	18453	5129
939	18472	5109
940	18491	5089
941	18511	5069
942	18531	5050
943	18550	5030
944	18570	5010
945	18589	4991
946	18609	4971
947	18628	4951
948	18647	4932
949	18667	4912
950	18686	4892
951	18706	4873
952	18727	4853
953	18746	4833
954	18767	4814
955	18786	4794
956	18811	4776
957	18834	4757
958	18859	4739
959	18881	4720
960	18927	4707
961	18956	4689
962	18982	4671
963	19012	4654
964	19042	4637
